Comment,Sentiment
i used to write so well and elaborate descriptions were super easy my pen flowed on paper like butter but ever since my teacher screamed at me for exceeding the word limit in the exam i got so discouraged that i gave up on writing and now i cant even write a simple essay school really does kill creativity dont let that happen to you,negative
been up all night been binge watching mrbeast since 5 he is such an incredible guy with a great crew just putting so much positivity out in the world,positive
this dude dose gods work and makes it a voice troll what a damn legend,negative
man feels bad for anishhope he comes strong tomorrow also hans is playing superb fighting games,neutral
im not sure if a lot of people really understand how gifted this dude ishe is yet to do a song that i dont like he can sing he can write songs best dancer right now as far as im concerned he can act and he can create wicked visual art i think if he didnt have that cloud over his head that a lot cant move on from people would really see a new king of rb,positive
being a british person myself gibi an american actually did a good job of doing a fairly convincing english accent as robyn literally never thought id say an american would ever do that but there ya go edit thanks for 12k likes,positive
katt has always said what he thought was happening in this country whether you like it or not he was right on about biden and obama i didn’t fall out of my chair laughing but he was right on,positive
this episode felt like a trolling contest ,negative
i’m upset about other things in my life and i’m still confident that i would love these and not complain about blueberry placement,positive
how did he even get on the ballot there has to be some intellectual people in our government or its doomed,negative
sok sikert nekem szeptember 19én lesz az interjum,neutral
great content i like the way you explain everything thanks,positive
ted cruz is a total hypocrite and recently until a canadian citizen who may not even have a legal right to run for president donald trump 2015,negative
that cut from pams horrified expression at michaels doll scenario to the crossing the line video is so fantastically timedit kills me every time,negative
some notes if anyone needs em barter system is the alternative to money but is highly inefficient money serves as a medium to exchange store of value and a unit of account in the past we had the gold standard which connected each dollar to a value of gold stock market is part of the financial system which is composed of lenders corporations and households and borrowers households businesses governments financial system a network of institutions markets and contracts that brings lenders and borrowers together 3 ways this happens banks bonds stock market banks deal with debt stocks deal with equity the difference between the value of assets interests and the cost of the liabilities of something owned financial instrument a tradeable asset of any kind banks are financial institutions an establishment that conducts financial transactions such as investments loans and deposits,neutral
im surprised that google have such aggressive deadlines considering them not having any noticeable new products the past few years seriously in addition to the closure of many of their products,negative
time to start a new book needed some background music  thank you,positive
the fact that walter practically causes half the film’s problems yet it turns out in the end not to mention for all for the wrong reasons he was right about everything,negative
my question is if you are in public service for the 10 years is the 120 qualifying payments still a requirement under this new announcement,neutral
i saw the netflix special and he was truthful and funny,positive
bruce should have built an army of hulks for the avengers,neutral
the kid wasnt front line when friend went out walking he stumbled across the toads doing their normal thing foraging the kid was out learning toadette knew that friend wasnt a danger to fishkind the movie drop subtext hints that like starship troopers the monsters werent the random violent one gruner started it likely by killing somemany of them and fishnapping a female member of their tribe to use as his own personal fleshlight peace was plenty possible and friend figured it out he just wasnt very smart as shown in the rest of the video all he had to do was offer them gruner at least at that point even at the beginning of the movie were set to think hes going to be attacked when they come knocking on his door but thats the director using our bias and expectation in monster movies they were curious sure and maybe marking the territory but they werent attackoriented until after friend got antsy i wonder if the tadpole gruner killed was his own,neutral
wonderful video i first got into btc back in 2016 and have been hodlingbuying sats at different price points since ive been through corrections before and will likely experience more over the future volatility is simply the price one needs to pay if they want to play i dont have any alts as im a bit of a btc maxi but that said if btc hasnt died before it surely wont do so now stick in there yes we are all feeling the pain but over the long run this will just be a blip this is how i see past corrections when i felt that i got in at a high back then i think it was less than 1000 and bouncing all over the place now when i look back all i see is regret for not having the courage in buying more at those times but if you believe btc has value then by all means buy these dips if you can afford to for those who got in at 60 or 70k and feeling the crunch hang in there btc is not a get rich quick scheme wait it out and you will see you will come away stronger i buy and just trade long term more than ever i have made over 95 btc with 24btc in just 5weeks from day trading with expert mr jack muller crypto in few weeks this is one of the best medium to backup your assets incase it goes bearish technical analysis is my second language you can reach mr jack muller on ͳeiєɠɾαmjackmuller cheers thank me later,neutral
my predictions readingwriting 630680 math 750800 overall 13801480 edit after taking it readingwriting 620660 math 710740 overall 13301400 my results readingwriting 650 math 720 overall 1370 im just going to keep this score i have been studying for over a year now and it’s not going to improve,negative
receitas maravilhosas ,positive
the fact that the version of re7 that came out was considered marketings worst nightmare shows extremely you that listening to people marketing is a foolish idea when it comes to creative endeavours,negative
good luck everyone feel free to ask questions in the comments chapters for your convenience 055 equipment 150 the pattern 212 breakdown 1 ball 339 breakdown 2 balls 540 breakdown 3 balls 829 troubleshooting 1112 bonus tips 1331 squirrels being stupid,neutral
i wouldn’t know what to do without youtube documentarieshistory shows etc i listen when i can’t watch at work and at night i’ll watch before bed,positive
i want to give the whole world a huge hug we have been through a lot and lost so much but we are still strong together and i feel like we are more and more connected now than ever i wish everyone the best and lets have a meaningful year ahead,positive
i like when you troll in a sense that participates in the class peak content,neutral
i think we killed them huh ya dont say caught me off guard,negative
save you 14 minutes games as a service are vastly more profitable than the initial revenue from games,positive
not many people have heard of this the game literally has 38 mil views,neutral
would love for a full series on how can we use rl to control real world dynamical systems,positive
these kid cops are out of control ,negative
1350 this man folowing rp rules is a legend,positive
candy k always looks to me like shes being held captive or just been released ,neutral
1 come up with a pacing strategy 2 review previous tests 3 rework old mistakes 4 review concepts youre always struggle with,neutral
me doesn’t watch makeup videos me doesn’t know a word in dutch me sees the title me clicks instantly and watches the whole thing,negative
this content is amazing keep it up,positive
this freaking girl got a 1500 on her freakin psat completely with no prior practice like wtf i can dream to get that score,negative
crystal always take those challenges so seriously ,neutral
steps of getting started with machine learning 1 get excited about machine learning 2 learn birds eye topics and think you understand machine learning 3 learn more about math and realize you dont understand machine learning 4 realize no one understands machine learning,neutral
when marvel doesnt know their own continuity shathra who appeared in jms run never defeated peter she was close but as always peter persevered but morlun defeated spidey once the other 3 times peter defeated morlun the other villains who have defeated spidey are doc ock norman and kraven,neutral
i watch it 1 million time and i don’t know to how do it i almost broke my arm out,negative
