Collection_Number,Comment_Text,Video_URL,Username,Channel_ID,Channel_URL,Account_Created_Date,Subscriber_Count,Video_Count,Has_Profile_Picture,Username_Pattern,Notes
1,I BLAME THIS SHITASS VID FOR REMOVING DISLIKES,https://www.youtube.com/watch?v=YbJOTdZBX1g,Logan,greengoblin4391,https://www.youtube.com/channel/UCvySi0b3U84B4e1n0rp9QAg,"Joined Apr 15, 2021",5,0,Yes,alphanumeric,
2,Youtube is PATHETIC for unlisting these,https://www.youtube.com/watch?v=YbJOTdZBX1g,psi duck,psiduck4444,http://www.youtube.com/@psiduck4444,"Joined Oct 17, 2017",23,4,Yes,alphanumeric,
3,YOU CANNOT ERASE YOUR FAILURES,https://www.youtube.com/watch?v=YbJOTdZBX1g,Maika,Outliars_and_Hyppocrates,http://www.youtube.com/@Outliars_and_Hyppocrates,"Joined Nov 8, 2023",58,26,Yes,Characters,
4,Y'all think you're so slick by unlisting all the rewinds,https://www.youtube.com/watch?v=YbJOTdZBX1g,Homelessville Productions,HomelessvilleProductions,http://www.youtube.com/@HomelessvilleProductions,"Joined Nov 3, 2019",88.5K,1.2K,Yes,Characters,
5,Just dropping by to check the dislikes,https://www.youtube.com/watch?v=YbJOTdZBX1g,PhilMC_,PhilMC_,http://www.youtube.com/@PhilMC_,"Joined Nov 4, 2016",431,12,Yes,Characters,
6,"Just came back to see how the dislikes are doing, not the video.",https://www.youtube.com/watch?v=YbJOTdZBX1g,Parbachano,pyramidheadrocks,http://www.youtube.com/@pyramidheadrocks,"Joined Jul 22, 2006",5,0,Yes,Characters,
7,Damn every year it gets trashier,https://www.youtube.com/watch?v=YbJOTdZBX1g,Rosey,rosey7574,https://www.youtube.com/@rosey7574,"Joined Jan 1, 2013",7,0,Yes,alphanumeric,
8,I feel uncomfortable,https://www.youtube.com/watch?v=YbJOTdZBX1g,CoolMoon,CoolMoon,http://www.youtube.com/@CoolMoon,"Joined Nov 18, 2013",964,64,Yes,Characters,
9,This video’s hate has spread quicker than the coronavirus.,https://www.youtube.com/watch?v=YbJOTdZBX1g,Urbanite,Brklyn583,http://www.youtube.com/@Brklyn583,"Joined Oct 22, 2016",14,1,Yes,Characters,
10,Why the hell are the rewinds unlisted??,https://www.youtube.com/watch?v=YbJOTdZBX1g,Tomatosauce69,TOMATOSAUCE1-e7k,http://www.youtube.com/@TOMATOSAUCE1-e7k,"Joined Mar 15, 2023",103,14,Yes,Characters,
